fb1	ctr1
-1.62792	-1.54103
-1.67061	-1.27485
-1.67164	-1.27485
-1.67274	-0.963507
-1.67274	-0.963507
-1.58427	-0.618034
-1.51932	-0.618034
-1.38398	-0.250666
-1.2753	-0.250666
-1.14319	0.125581
-0.990768	0.125581
-0.881058	0.49738
-0.704208	0.49738
-0.574234	0.851559
-0.397381	0.851559
-0.219471	1.17557
-0.069252	1.17557
0.109726	1.45794
0.283382	1.45794
0.437843	1.68866
0.612587	1.68866
0.747906	1.85955
0.943935	1.85955
1.09735	1.96457
1.25083	1.96457
1.42769	2
1.58112	2
1.68979	1.96457
1.82395	1.96457
1.9114	1.85955
1.97737	1.85955
2.0423	1.68866
2.06361	1.68866
2.08502	1.45794
2.08614	1.45794
2.0424	1.17557
1.93373	1.17557
1.84534	0.851559
1.73446	0.851559
1.62579	0.49738
1.51506	0.49738
1.38501	0.125581
1.24973	0.125581
1.14319	-0.250666
1.00999	-0.250666
0.877884	-0.618034
0.724499	-0.618034
0.591278	-0.963507
0.43681	-0.963507
0.304703	-1.27485
0.132107	-1.27485
-0.0245056	-1.54103
-0.199242	-1.54103
-0.372887	-1.75261
-0.528435	-1.75261
-0.706371	-1.90211
-0.859749	-1.90211
-1.01207	-1.98423
-1.18783	-1.98423
-1.34123	-1.99605
-1.4745	-1.99605
-1.56179	-1.93717
-1.64915	-1.93717
-1.7152	-1.80965
-1.75892	-1.80965
-1.78236	-1.61803
-1.80358	-1.61803
-1.80256	-1.36909
-1.80145	-1.36909
-1.78125	-1.07165
-1.69287	-1.07165
-1.62784	-0.736249
-1.54055	-0.736249
-1.45106	-0.374763
-1.34032	-0.374763
-1.23056	-1.46953e-015
-1.0761	-1.46953e-015
-0.989727	-1.46953e-015
-0.812874	-1.46953e-015
-0.704174	-1.46953e-015
-0.550793	-1.46953e-015
-0.441071	-1.46953e-015
-0.354767	-1.46953e-015
-0.264206	-1.46953e-015
-0.199215	-1.46953e-015
-0.133163	-1.46953e-015
-0.089489	-1.46953e-015
-0.046875	-1.46953e-015
-0.0223732	-1.46953e-015
-0.00319672	-1.46953e-015
0.0213089	-1.46953e-015
0.0415497	-1.46953e-015
0.0426178	-1.46953e-015
0.064991	-1.46953e-015
0.0671196	-1.46953e-015
0.0639267	-1.46953e-015
0.0639229	-1.46953e-015
0.064991	-1.46953e-015
0.0649872	-1.46953e-015
0.0628586	-1.46953e-015
0.0436821	-1.46953e-015
0.0202446	-1.46953e-015
0.0202446	-1.46953e-015
-0	-1.46953e-015
-0.0010643	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0255699	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234337	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0255699	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0255699	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234337	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0255661	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0255699	-1.46953e-015
